brand;model;buildyear;fuel;mileage;price
427;636;2015;98;143429.0;8950.0
427;636;2009;98;74343.0;5950.0
427;636;2011;98;16282.0;8450.0
427;636;2015;98;78289.0;7550.0
427;636;2015;98;96421.0;14995.0
427;636;2013;98;123022.0;6400.0
427;636;2015;98;65288.0;16450.0
427;636;2010;98;148789.0;6999.0
427;636;2019;98;69224.0;13950.0
427;636;2013;98;165535.0;5950.0
427;636;2016;98;80088.0;19995.0
427;636;2011;98;86584.0;5409.0
427;636;2009;98;96821.0;7245.0
427;636;2015;98;99975.0;16250.0
427;636;2015;98;58696.0;14944.0
427;636;2018;98;51000.0;19950.0
427;636;2019;98;12803.0;15250.0
427;636;2018;98;97228.0;17945.0
427;636;2014;98;145325.0;8950.0
427;636;2016;98;89734.0;11950.0
427;636;2018;98;92695.0;23900.0
427;636;2019;98;35764.0;24595.0
427;636;2010;98;101507.0;5999.0
427;636;2018;98;27162.0;15945.0
427;636;2014;98;117658.0;14595.0
427;636;2016;98;54290.0;9899.0
427;636;2010;98;140813.0;5450.0
427;636;2017;98;49676.0;13500.0
427;636;2012;98;127169.0;6290.0
427;636;2015;98;97803.0;9950.0
427;636;2014;98;191022.0;5845.0
427;636;2016;98;51126.0;9850.0
427;636;2019;98;142710.0;13945.0
427;636;2011;98;167386.0;5750.0
427;636;2015;98;96666.0;10490.0
427;636;2014;98;225297.0;4950.0
427;636;2012;98;75260.0;7450.0
427;636;2005;98;240000.0;1499.0
427;636;2013;98;99206.0;12441.0
427;636;2002;98;202338.0;850.0
427;636;2015;98;129789.0;8450.0
427;636;2017;100;166494.0;7885.0
427;636;2019;98;103876.0;12445.0
427;636;2018;98;43947.0;24595.0
427;636;2020;98;128368.0;11835.0
427;636;2014;98;54725.0;9445.0
427;636;2017;98;107521.0;12445.0
427;636;2018;98;34470.0;16950.0
427;636;2011;98;301832.0;2995.0
427;636;1999;98;116545.0;995.0
427;636;2019;98;176825.0;9950.0
427;636;2014;98;105212.0;8450.0
427;636;2017;98;47114.0;10945.0
427;636;2019;98;57992.0;12500.0
427;636;2020;98;47985.0;14445.0
427;636;2020;98;33673.0;12450.0
427;636;2020;98;78675.0;13745.0
427;636;2017;98;53295.0;12750.0
427;636;2021;50;57038.0;17750.0
427;636;2004;98;194850.0;1950.0
427;636;2018;98;9702.0;13445.0
427;636;2018;98;88579.0;10950.0
